Topic,Tweets,Date,Number,Permalink
storm hit just fpl tropical cat days lost went did
, I just ordered you up some knee pads so you could be comfortable with all the blowing your doing after the storm. #DukeEnergy,2017-09-18,1,https://twitter.com/DickLaser/status/909761868306239488
,Next storm I will bail to my parents. Not because I can't ride it out but because now I know  doesn't seem prepared,2017-09-11,1,https://twitter.com/AuthorLMendez/status/907384465084776449
,My asthma has been terrible so I can only imagine what a child is going through. Breathing in everything after the storm,2017-09-14,1,https://twitter.com/GORExJESS/status/908337963125407746
,Four more days of this? Are you off your rocker? Our power went out before the storm even hit and it's four more days? That is just insanity,2017-09-12,1,https://twitter.com/WillHoldOnHope/status/907700745113403399
,No power in key west at the moment but  is working to either bring it back now between bands or once the storm passes,2017-09-09,1,https://twitter.com/MichRcChesney/status/906725479725649920
,FPL's Juliet Roulhac not mincing words: Crews will likely have to REBUILD the system due to intensity of the storm.  ,2017-09-08,1,https://twitter.com/LaurenPastrana/status/906159616521895936
,"Because the gas and disel werent coming into FL sweetie. Did you know storm hit caribbean before us,no boats allowed in waters to get fuel",2017-09-11,1,https://twitter.com/wisdomfromage/status/907436388743880704
, Almost everyone around us has had power since the storm. We lost it the night of and are still out over a simple fuse. Plz help!,2017-09-16,1,https://twitter.com/rltbme_Orlando/status/909133262534201346
, so my power was fine during the whole storm but when it's over it got shut off??,2017-09-12,1,https://twitter.com/susyyxo/status/907657544872681472
," : We have one of the strongest grids in America, but no grid is designed to withstand a category 5 storm.",2017-09-07,1,https://twitter.com/CBS12/status/905820535568916480
,My elec went out the Friday before the storm. Now out 9 days. What??,2017-09-17,1,https://twitter.com/ellyn007/status/909555423463837696
,The storm was on the 9th You weren't ready very poor planning ,2017-09-13,1,https://twitter.com/j082298/status/907894825835532288
,This is an automated phone message. Your response to this storm is an embarrassment.,2017-09-13,1,https://twitter.com/tommyroebig/status/907982429310390274
,#Breaking  has assembled the biggest storm response team in history.  ,2017-09-09,1,https://twitter.com/Eric_Roby/status/906543179553492994
,And  completely dropped the ball. They are ill-prepared and ill-equipped to handle the impact from this storm.,2017-09-12,1,https://twitter.com/flylikerobin_/status/907682885800534016
,.  : We are more prepared for #Irma than we have been for any storm in the history of this company.,2017-09-08,1,https://twitter.com/PaulMerrillWMTW/status/906178177743151104
,"""This is a major storm not to be played with.""-  #hurricaneirma2017 #FLPrepares ",2017-09-07,1,https://twitter.com/ThomasDBradley/status/905817342768279553
,that's a really small percentage. What if the storm had hit as predicted?,2017-09-14,1,https://twitter.com/viviantphd/status/908328048356937728
,Never is! Wasn't when super storm sandy hit 2 & 3 weeks,2017-09-11,1,https://twitter.com/betty_dekanchuk/status/907376579357151233
,I agree we just dodged a 180 mph storm and people are complaining #HurricaneIrma #Miami,2017-09-19,1,https://twitter.com/MarioLitano/status/910172171695247361
,"That they are.. got faith in em, at least the rain has he off since storm. #LakelandStrong",2017-09-14,1,https://twitter.com/b24cc4b304fd432/status/908404872927678469
,But we were watching the news to stay updated during the storm.,2017-09-11,1,https://twitter.com/mattboom/status/907357559656517632
,"We are currently in the main part, experiencing up to 90mph wind gusts should continue until 10pm and then tropical storm winds until 10am",2017-09-10,1,https://twitter.com/CoralSpringsFL/status/906967762505015301
,Thankyou  and  for coming back after the storm #IrmaRecovery,2017-09-13,1,https://twitter.com/ofc_DrDrama/status/908038393191378952
,Shoulda do e half that much to build a grid with any storm resistance at all.,2017-09-12,1,https://twitter.com/AgEnviroScience/status/907648187363717121
,By the way Havana had electricity with an hours of the storm passing Havana Cuba,2017-09-12,1,https://twitter.com/j082298/status/907691752160624646
,Just like FPL covers up ongoing excessive non-storm related power surge complaints - you can call and call but they NEVER give explanation !,2017-09-20,1,https://twitter.com/JJ7701/status/910389108450742272
, why is it you had men pass though our neighborhood the day after the storm and nobody has been there since? please help!,2017-09-18,1,https://twitter.com/anewmanofficial/status/909796604185636864
,"I say storm the Bastille, drag the King out from his palace, and start Robespierre-ing some fuckers",2017-09-15,1,https://twitter.com/ColonelMD3/status/908888098670612480
,This storm had people going crazy! Including an unnamed power company ,2017-09-12,1,https://twitter.com/anjolcake/status/907722289231298560
,We will be doing a storm survey in that area later today.,2017-09-21,1,https://twitter.com/NWSKeyWest/status/910834324806696960
, had a crew out here then t storm hit.. Any idea if they will be back after it clears?,2017-09-14,1,https://twitter.com/treysGA/status/908474408326647808
, in west boca chase and lost power before storm and still no sign of a Fpl truck.,2017-09-13,1,https://twitter.com/conn8125/status/908009340086472704
,I'm in Jacksonville so I'm about as far from the storm as I can get and still be in Florida.,2017-09-10,1,https://twitter.com/mocando/status/906992473574080513
,The work has to do it before the storm not after. Need to update the installation everywhere.,2017-09-11,1,https://twitter.com/JairoBaroja31/status/907429573477978112
,Let storm prepping be easy. The new Storm Center Brevard Hurricane Guide has everything you need to know.  bit.ly/2xCGwdm  ,2017-09-28,1,https://twitter.com/1071A1A/status/913545105939689472
,Let storm prepping be easy. The new Storm Center Brevard Hurricane Guide has everything you need to know.  bit.ly/2wfixxr  ,2017-09-28,1,https://twitter.com/NASHFM1027WHKR/status/913416257210261504
,"further, it was not much of a storm. Duke goes out in a gust on any given Sunday",2017-09-12,1,https://twitter.com/viviantphd/status/907690013323915264
, &  failed miserably w/ #HurricaneIrma -a Cat 1 storm. Did they ever invest in infrastructure?  ,2017-09-14,1,https://twitter.com/Joschmellen/status/908313861853519872
,i posted pics - we are in vegas avoiding the storm and power outages! House is fine we have people staying there with machine guns,2017-09-12,1,https://twitter.com/NeilHUSA/status/907774013929226240
,    #day10 of no lights in #CutlerBay FPL Outage not storm related! No trucks insight!,2017-09-18,1,https://twitter.com/AleiaElle/status/909922220042063872
, What if #Irma would have impacted us as the cat 5 storm it first was?,2017-09-12,1,https://twitter.com/1captainsgal/status/907794106792980480
, a big Kudo's goes out FPL--had power throughout the storm,2017-09-11,1,https://twitter.com/USAFRETIRED1/status/907347426998177792
, The fire fighters had to come out in the middle of the storm due to no one trimming the tree.Thanks fpl,2017-09-14,1,https://twitter.com/conde_faustino/status/908530604177711104
,#Breaking  We will restore #power during the #storm to some people using the smart grid technology.,2017-09-08,1,https://twitter.com/CBS12/status/906184146204192768
,Only experienced tropical storm winds 395:954 to have so many outages proves fpl cuts corners to save money. See results Criminal,2017-09-13,1,https://twitter.com/wideslapper/status/907959021902196736
,"Awesome that WDW can assist. Awesome how FPL, Duke and all the utilities are like the Cavalry after the storm!",2017-09-10,1,https://twitter.com/SteveRoot5/status/906984867161927681
,A cat 1 storm has revealed  incompetent.  #pukeenergy DukeEnergy is the enemy! 4Chan is coming! RIP,2017-09-13,1,https://twitter.com/SnakeIdol/status/908164612817915904
,"So it's taken almost 5 full days after a tropical storm hits, to get 87% of power back? Pathetic. That's a poor #because some never lost",2017-09-15,1,https://twitter.com/MustSee58/status/908666410003566593
,"I just wonder WHY after 1/4 century of rate hikes & storm lessons 2 'modernize' grid, power, cable & phn grids r still so 19th Century?!",2017-09-14,1,https://twitter.com/RealMiamiEstate/status/908392662537003014
,"THNX...just wonder WHY after 1/4 century of rate hikes & storm lessons 2 'modernize' grid, power, cable &phn grids r still so 19th Century",2017-09-14,1,https://twitter.com/RealMiamiEstate/status/908392437504233472
, insi can show you exactly where the problem is. Same spot that causes us to lose power every storm. Always temporary fixes,2017-09-12,1,https://twitter.com/Couch_Party/status/907675385252413441
,there's a tweet pinned to the top of their twitter feed that lets everyone know not to expect responses during & after the storm.,2017-09-14,1,https://twitter.com/mspatricia317/status/908385602126716929
, honestly I would like to know how is the process to connect power lines back because including this storm we have bad experience,2017-09-15,1,https://twitter.com/WalterGLedesma1/status/908867954892210176
,"Christian just arrived at a  worksite in Harbor Bluffs. On his first storm deployment from #NC , he'll climbing on this one. ",2017-09-14,1,https://twitter.com/DE_JeffB/status/908415535393669120
,We r grateful we had it for a few days. Mom is well. She stayed w my sister during the storm and is back home. Ty for asking!,2017-09-13,1,https://twitter.com/kc712/status/908085522949648384
,This storm took out a lot of power and everyone thinks that they're more important than everyone else... there's only so much they can do.,2017-09-15,1,https://twitter.com/JTBassPlayer/status/908830900011651072
,#HurrcaneIrma took out our power but we still can connect to an xfinity hotspot to see  . hope  helps us out after the storm,2017-09-10,1,https://twitter.com/NiithTweets/status/906976018610651137
,"We continue to operate in storm mode. Normal operations, including payments via  OUC.com , will resume after restoration.",2017-09-15,1,https://twitter.com/OUCreliableone/status/908746886269546501
,You think they'll magically know exactly when you will get power? This is a once in a decade type of storm event. ungrateful,2017-09-13,1,https://twitter.com/PrankerTV/status/908021149719810048
,Ok thanks. Here's a pic of a t-former that is on the corner blk of my apt cmplx I seen it spark during the storm but we still have power ,2017-09-12,1,https://twitter.com/DoronBond/status/907650972310274049
,Probably the same amount that went down when the storm hit no progress in Polk county,2017-09-14,1,https://twitter.com/Snipertrades89/status/908384694982643712
,I bought our linemen beer after our wind storm.,2017-09-11,1,https://twitter.com/G13net/status/907434925946793984
,I don't see it as of yet haven't had power since the 9th around eleven p.m.if fpl would have done there job before storm we would have,2017-09-13,1,https://twitter.com/Tigger94945369/status/907989640078118912
,We lost power even before the storm started  what gives? sunset and Sw 107 area,2017-09-11,1,https://twitter.com/gival612/status/907387348886765568
,I can attest that Jeff Brooks does work for Duke and is temporarily assigned to storm restoration duty. ,2017-09-18,1,https://twitter.com/KevinSLeahy/status/909773759720169472
,   Investigate  taking over Florida Power leaving no ability to respond to a Cat 1 storm. 5days,2017-09-13,1,https://twitter.com/Davidwrg/status/908053740552425473
," the storm hasn't even hit and we lost power, can you please help us get it back so we know what's happening?!",2017-09-09,1,https://twitter.com/BlondetteAmbit/status/906472891985874944
,Our power in pinellas has been out since Saturday at 7:47pm. That was before the storm even hit us.,2017-09-12,1,https://twitter.com/EYEAMLISALOVE/status/907591257303724032
