username|date|retweets|favorites|text|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
NBCNews|2017-09-20 15:00:12|19|25|Barbuda hopes an online betting settlement will help in Hurricane  Irma  recovery  http://nbcnews.to/2xQNRa3   pic.twitter.com/57aNKT3dxM|false|910579362763862017|/NBCNews/status/910579362763862017||||
NBCNews|2017-09-07 17:46:51|197|409|130 soldiers from the NJ Army National Guard prepare for deployment to aid Florida ahead of Hurricane  Irma   pic.twitter.com/JiAGNPD9Ea|false|905910260631826432|/NBCNews/status/905910260631826432||||
NBCNews|2017-09-10 04:45:56|190|168|NEW: The eyewall of Hurricane  Irma  will hit the lower Florida Keys between 7-8 am ET, says National Weather Service|false|906800897111543808|/NBCNews/status/906800897111543808||||
NBCNews|2017-09-17 17:31:12|162|162|"It’s just total devastation": Residents of Barbuda try to rebuild after Hurricane  Irma   http://nbcnews.to/2fsRBng   pic.twitter.com/oX89NauA1j|false|909530199607463936|/NBCNews/status/909530199607463936||||
NBCNews|2017-09-07 04:13:05|124|87|UPDATE: Hurricane  Irma  has now passed north of the eastern  Dominican Republic, says National Weather Service  pic.twitter.com/Q9wrd5vMVN|false|905705470077394944|/NBCNews/status/905705470077394944||||
NBCNews|2017-09-26 18:51:07|49|39|WH: President Trump amends U.S. Virgin Island disaster declaration resulting from Hurricane  Irma .  pic.twitter.com/l7UAqLGmYw|false|912811803423494144|/NBCNews/status/912811803423494144||||
NBCNews|2017-09-10 08:11:02|53|75|JUST IN: Florida Gov. Rick Scott to give updates on Hurricane  Irma  at 12 p.m. ET|false|906852511918718976|/NBCNews/status/906852511918718976||||
NBCNews|2017-09-12 09:56:45|244|381|WATCH: Hurricane  Irma  dissipates after moving through Florida__NEWLINE____NEWLINE__(Video: NOAA)  pic.twitter.com/sZCukMBJ3T|false|907603896130064384|/NBCNews/status/907603896130064384||||
NBCNews|2017-10-06 17:00:20|14|25|Hurricanes Harvey and  Irma  walloped what would have been a strong jobs gain  http://nbcnews.to/2y1AX6j   pic.twitter.com/AEtUJRQxTb|false|916407801756315648|/NBCNews/status/916407801756315648||||
NBCNews|2017-09-07 05:30:13|49|56|For a Florida City that was wrecked by Hurricane Andrew,  Irma  brings scary nostalgia  http://nbcnews.to/2wJi6Ow   pic.twitter.com/cdJXLlAdkR|false|905724879600791554|/NBCNews/status/905724879600791554||||
NBCNews|2017-09-11 15:07:59|90|66|DHS adviser Tom Bossert says power in Florida could be out for weeks after  Irma    http://snpy.tv/2xWfN8t  |false|907319831447224320|/NBCNews/status/907319831447224320||||
NBCNews|2017-09-09 10:08:05|66|83|TRACKING  IRMA : The latest forecast and satellite images as Hurricane  Irma  heads towards Florida  http://nbcnews.to/2xcxZxF   pic.twitter.com/dByZS0Vd3v|false|906519582319562752|/NBCNews/status/906519582319562752||||
NBCNews|2017-09-09 14:06:13|162|115|'UPDATE: Approximately 32,700 are without power ahead of Hurricane  Irma ''s landfall, according to Florida power companies'|false|906579509587185665|/NBCNews/status/906579509587185665||||
NBCNews|2017-09-09 13:24:35|58|122|.@GadiNBC  is in Homestead, Florida as Hurricane  Irma  barrels toward the southern coast. Watch on @Instagram  →  http://instagram.com/nbcnews   pic.twitter.com/lUFp8B9ZPt|false|906569031494328320|/NBCNews/status/906569031494328320||||
NBCNews|2017-09-05 04:30:14|77|74|Hurricane  Irma  has strengthened to a Category 4 storm  http://nbcnews.to/2wBgCpv   pic.twitter.com/cxF97PWquL|false|904985010406600708|/NBCNews/status/904985010406600708||||
NBCNews|2017-09-09 10:35:33|930|1220|'WATCH: NBC''s Tom Costello steps inside a wind simulator to brave the force of a Category 3 hurricane.  Irma  is currently a Category 4 storm.  pic.twitter.com/RpgCfSjGv4'|false|906526494750633984|/NBCNews/status/906526494750633984||||
NBCNews|2017-09-10 12:34:18|89|73|Follow the latest on Hurricane  Irma  here:  http://nbcnews.com/Irma   pic.twitter.com/lrdxkBlRd2|false|906918768214990848|/NBCNews/status/906918768214990848||||
NBCNews|2017-09-07 10:05:13|329|358|A look at the eye of Hurricane  Irma  as it moves through the Caribbean, via NOAA __NEWLINE____NEWLINE__Latest:  http://nbcnews.to/Irma   pic.twitter.com/YYT7aFR2m3|false|905794087432986624|/NBCNews/status/905794087432986624||||
NBCNews|2017-09-08 21:30:13|223|193|Watch: Marco Island, Naples could face direct hit from  Irma   http://nbcnews.to/2xcl26T   pic.twitter.com/jQb4nRoV9Q|false|906328860303806465|/NBCNews/status/906328860303806465||||
NBCNews|2017-09-08 23:30:13|118|138|Photos: Hurricane  Irma  carves path of destruction in Caribbean  http://nbcnews.to/2xci7uW  |false|906359057207971840|/NBCNews/status/906359057207971840||||
NBCNews|2017-09-16 20:00:11|70|92|Interpreter for the deaf signs gibberish at  Irma  press conference  http://nbcnews.to/2xI1HLP    via @NBC6 pic.twitter.com/56HhXs9V3n|false|909205303375405058|/NBCNews/status/909205303375405058||||
